time,downrange,altitude
484,1800.0783789225834,216.0
485,1800.0783789225834,216.0
486,1800.0783789225834,216.0
487,1800.0783789225834,216.0
488,1800.0783789225834,216.0
489,1800.0783789225834,216.0
490,1800.0783789225834,216.0
491,1800.0783789225834,216.0
492,1800.0783789225834,216.0
493,1800.0783789225834,216.0
494,1800.0783789225834,216.0
495,1800.0783789225834,216.0
496,1800.0783789225834,216.0
497,1800.0783789225834,216.0
498,1800.0783789225834,216.0
499,1800.0783789225834,216.0
500,1800.0783789225834,216.0
501,1800.0783789225834,216.0
502,1800.0783789225834,216.0
503,1800.0783789225834,216.0
504,1800.0783789225834,216.0
505,1800.0783789225834,216.0
506,1800.0783789225834,216.0
507,1800.0783789225834,216.0
508,1800.0783789225834,216.0
509,1800.0783789225834,216.0
510,1800.0783789225834,216.0
511,1800.0783789225834,216.0
512,1800.0783789225834,216.0
513,1800.0783789225834,216.0
514,1800.0783789225834,216.0
515,1800.0783789225834,216.0
516,1800.0783789225834,216.0
517,1800.0783789225834,216.0
518,1800.0783789225834,216.0
519,1800.0783789225834,216.0
520,1800.0783789225834,216.0
521,1800.0783789225834,216.0
522,1800.0783789225834,216.0
523,1800.0783789225834,216.0
524,1800.0783789225834,216.0
525,1800.0783789225834,216.0
526,1800.0783789225834,216.0
527,1800.0783789225834,216.0
528,1800.0783789225834,216.0
529,1800.0783789225834,216.0
530,1800.0783789225834,216.0
531,1827.2263747786315,217.0
532,1827.2263747786315,217.0
533,1827.2263747786315,217.0
534,1827.2263747786315,217.0
535,1827.2263747786315,217.0
536,1827.2263747786315,217.0
537,1827.2263747786315,217.0
538,1827.2263747786315,217.0
539,1827.2263747786315,217.0
540,1827.2263747786315,217.0
541,1827.2263747786315,217.0
542,1827.2263747786315,217.0
543,1827.2263747786315,217.0
544,1827.2263747786315,217.0
545,1827.2263747786315,217.0
546,1827.2263747786315,217.0
547,1827.2263747786315,217.0
548,1827.2263747786315,217.0
549,1827.2263747786315,217.0
550,1827.2263747786315,217.0
551,1827.2263747786315,217.0
552,1827.2263747786315,217.0
553,1827.2263747786315,217.0
554,1827.2263747786315,217.0
555,1827.2263747786315,217.0
556,1827.2263747786315,217.0
557,1827.2263747786315,217.0
558,1827.2263747786315,217.0
559,1827.2263747786315,217.0
560,1827.2263747786315,217.0
561,1827.2263747786315,217.0
562,1827.2263747786315,217.0
563,1827.2263747786315,217.0
564,1827.2263747786315,217.0
565,1827.2263747786315,217.0
566,1827.2263747786315,217.0
567,1827.2263747786315,217.0
568,1827.2263747786315,217.0
569,1827.2263747786315,217.0
570,1827.2263747786315,217.0
571,1827.2263747786315,217.0
572,1827.2263747786315,217.0
573,1827.2263747786315,217.0
574,1827.2263747786315,217.0
575,1827.2263747786315,217.0
576,1827.2263747786315,217.0
577,1827.2263747786315,217.0
578,1827.2263747786315,217.0
579,1827.2263747786315,217.0
580,1827.2263747786315,217.0
581,1827.2263747786315,217.0
582,1827.2263747786315,217.0
583,1827.2263747786315,217.0
584,1827.2263747786315,217.0
585,1827.2263747786315,217.0
586,1827.2263747786315,217.0
587,1827.2263747786315,217.0
588,1827.2263747786315,217.0
589,1854.3698706339924,218.0
590,1854.3698706339924,218.0
591,1854.3698706339924,218.0
592,1854.3698706339924,218.0
593,1854.3698706339924,218.0
594,1854.3698706339924,218.0
595,1854.3698706339924,218.0
596,1854.3698706339924,218.0
597,1854.3698706339924,218.0
598,1854.3698706339924,218.0
599,1854.3698706339924,218.0
600,1854.3698706339924,218.0
601,1854.3698706339924,218.0
602,1854.3698706339924,218.0
603,1854.3698706339924,218.0
604,1854.3698706339924,218.0
605,1854.3698706339924,218.0
606,1854.3698706339924,218.0
607,1854.3698706339924,218.0
608,1854.3698706339924,218.0
609,1854.3698706339924,218.0
610,1854.3698706339924,218.0
611,1854.3698706339924,218.0
612,1854.3698706339924,218.0
613,1854.3698706339924,218.0
