Time,Altitude KM,Speed KM/H
00:11:59,219,27134
00:12:00,219,27134
00:12:01,219,27134
00:12:02,219,27134
00:12:03,219,27134
00:12:04,219,27134
00:12:05,219,27133
00:12:05,219,27133
00:12:07,219,27133
00:12:08,219,27133
00:12:09,219,27133
00:12:10,219,27133
00:12:11,219,27133
00:12:12,219,27133
00:12:13,219,27133
00:12:14,219,27132
00:12:15,219,27132
00:12:16,219,27132
00:12:17,219,27132
00:12:18,219,27132
00:12:19,219,27132
00:12:20,219,27132
00:12:21,219,27132
00:12:23,219,27132
00:12:24,219,27131
00:12:25,219,27131
00:12:26,219,27131
00:12:27,219,27131
00:12:28,219,27131
00:12:29,219,27131
00:12:30,219,27131
00:12:31,219,27131
00:12:32,219,27130
00:12:33,219,27130
00:12:34,220,27130
00:12:35,220,27130
00:12:36,220,27130
00:12:37,220,27130
00:12:38,220,27130
00:12:39,220,27130
00:12:40,220,27130
00:12:41,220,27130
00:12:42,220,27129
00:12:43,220,27129
00:12:45,220,27129
00:12:46,220,27129
00:12:47,220,27129
00:12:48,220,27129
00:12:49,220,27129
00:12:50,220,27129
00:12:51,220,27129
00:12:52,220,27128
00:12:53,220,27128
00:12:54,220,27128
00:12:55,220,27128
00:12:56,220,27128
00:12:57,220,27128
00:12:58,220,27128
00:12:59,220,27128
00:13:00,220,27128
00:13:00,220,27127
00:13:01,220,27127
00:13:02,220,27127
00:13:03,220,27127
00:13:04,220,27127
00:13:05,220,27127
00:13:06,220,27127
00:13:07,220,27127
00:13:08,220,27127
00:13:09,220,27127
00:13:10,220,27126
00:13:11,220,27126
00:13:12,221,27126
00:13:13,221,27126
00:13:14,221,27126
00:13:15,221,27126
00:13:16,221,27126
00:13:18,221,27126
00:13:22,221,27125
00:13:23,221,27125
00:13:24,221,27125
00:13:25,221,27125
00:13:26,221,27125
00:13:31,221,27124
00:13:37,221,27124
00:13:38,221,27124
00:13:39,221,27123
00:13:40,221,27123
00:13:41,221,27123
00:13:42,221,27123
00:13:43,221,27123
00:13:44,221,27123
00:13:45,221,27123
00:13:46,222,27123
00:13:47,222,27122
00:13:48,222,27122
00:13:49,222,27122
00:13:50,222,27122
00:13:51,222,27122
00:13:53,222,27122
00:13:54,222,27122
00:13:55,222,27122
00:13:56,222,27121
00:13:57,222,27121
00:13:58,222,27121
00:13:59,222,27121
00:14:00,222,27121
00:14:01,222,27121
00:14:02,222,27121
00:14:03,222,27120
00:14:04,222,27120
00:14:05,222,27120
