time,temperature,altitude
00:07:01,286.80449999999996,207
00:07:02,286.798,208
00:07:03,286.798,208
00:07:04,286.798,208
00:07:05,286.798,208
00:07:06,286.798,208
00:07:07,286.7915,209
00:07:08,286.7915,209
00:07:09,286.7915,209
00:07:10,286.7915,209
00:07:11,286.7915,209
00:07:12,286.7915,209
00:07:14,286.7915,209
00:07:15,286.78499999999997,210
00:07:15,286.78499999999997,210
00:07:17,286.78499999999997,210
00:07:18,286.78499999999997,210
00:07:19,286.78499999999997,210
00:07:20,286.78499999999997,210
00:07:21,286.78499999999997,210
00:07:22,286.77849999999995,211
00:07:28,286.772,212
00:07:29,286.772,212
00:07:30,286.772,212
00:07:31,286.772,212
00:07:32,286.772,212
00:07:35,286.772,212
00:07:36,286.772,212
00:07:37,286.7655,213
00:07:38,286.7655,213
00:07:39,286.7655,213
00:07:40,286.7655,213
00:07:41,286.7655,213
00:07:42,286.7655,213
00:07:43,286.7655,213
00:07:44,286.7655,213
00:07:45,286.7655,213
00:07:46,286.75899999999996,214
00:07:47,286.75899999999996,214
00:07:48,286.75899999999996,214
00:07:49,286.75899999999996,214
00:07:50,286.75899999999996,214
00:07:51,286.75899999999996,214
00:07:52,286.75899999999996,214
00:07:53,286.75899999999996,214
00:07:54,286.75899999999996,214
00:07:55,286.75899999999996,214
00:07:56,286.75899999999996,214
00:07:57,286.75899999999996,214
00:07:58,286.7525,215
00:07:59,286.7525,215
00:08:00,286.7525,215
00:08:01,286.7525,215
00:08:02,286.7525,215
00:08:03,286.7525,215
00:08:05,286.7525,215
00:08:06,286.7525,215
00:08:07,286.7525,215
00:08:08,286.7525,215
00:08:09,286.7525,215
00:08:10,286.7525,215
00:08:11,286.7525,215
00:08:12,286.7525,215
00:08:13,286.7525,215
00:08:14,286.746,216
00:08:16,286.746,216
00:08:16,286.746,216
00:08:17,286.746,216
00:08:20,286.746,216
00:08:21,286.746,216
00:08:22,286.746,216
00:08:23,286.746,216
00:08:24,286.746,216
00:08:25,286.746,216
00:08:26,286.746,216
00:08:27,286.746,216
00:08:28,286.746,216
00:08:29,286.746,216
00:08:30,286.746,216
00:08:31,286.746,216
00:08:31,286.746,216
00:08:32,286.746,216
00:08:33,286.746,216
00:08:34,286.746,216
00:08:35,286.746,216
00:08:36,286.746,216
00:08:37,286.746,216
00:08:38,286.746,216
00:08:39,286.746,216
00:08:40,286.746,216
00:08:41,286.746,216
00:08:42,286.746,216
00:08:43,286.746,216
00:08:44,286.746,216
00:08:45,286.746,216
00:08:46,286.746,216
00:08:47,286.746,216
00:08:48,286.746,216
00:08:49,286.746,216
00:08:50,286.746,216
00:08:51,286.746,216
00:08:52,286.746,216
00:08:53,286.746,216
00:08:54,286.746,216
00:08:55,286.746,216
00:08:56,286.746,216
00:08:57,286.746,216
00:08:58,286.746,216
00:08:59,286.746,216
00:09:00,286.746,216
00:09:01,286.746,216
00:09:02,286.746,216
00:09:03,286.746,216
00:09:04,286.746,216
00:09:05,286.746,216
00:09:06,286.746,216
00:09:07,286.746,216
00:09:08,286.746,216
00:09:09,286.746,216
00:09:10,286.746,216
00:09:11,286.746,216
00:09:12,286.746,216
00:09:13,286.746,216
00:09:14,286.746,216
00:09:15,286.746,216
00:09:16,286.746,216
00:09:17,286.746,216
00:09:18,286.746,216
00:09:19,286.746,216
00:09:20,286.746,216
00:09:21,286.746,216
00:09:23,286.746,216
00:09:24,286.746,216
00:09:25,286.746,216
00:09:26,286.746,216
00:09:27,286.746,216
00:09:28,286.746,216
00:09:29,286.746,216
00:09:30,286.746,216
00:09:31,286.746,216
00:09:32,286.73949999999996,217
00:09:33,286.73949999999996,217
