time,horizontal_speed,altitude
803,27115.9834046,223.0
804,27114.983404,223.0
805,27113.9834034,223.0
806,27113.9834034,223.0
807,27113.9834034,223.0
808,27113.9834034,223.0
809,27113.9834034,224.0
810,27112.9834028,224.0
811,27112.9834028,224.0
812,27112.9834028,224.0
813,27112.9834028,224.0
814,27111.9834022,224.0
815,27111.9834022,224.0
816,27111.9834022,224.0
817,27111.9838478,224.0
818,27110.9845042,224.0
