time,downrange,altitude
395,1160.47038081,198.0
396,1160.47038081,198.0
397,1160.47038081,198.0
398,1160.47038081,198.0
399,1160.47038081,198.0
400,1160.47038081,198.0
401,1160.47038081,198.0
402,1160.47038081,198.0
403,1160.47038081,198.0
404,1160.47038081,198.0
405,1160.47038081,198.0
406,1160.47038081,198.0
407,1160.47038081,198.0
408,1160.47038081,198.0
409,1160.47038081,198.0
410,1160.47038081,198.0
411,1160.47038081,198.0
412,1160.47038081,198.0
413,1160.47038081,198.0
414,1160.47038081,198.0
415,1160.47038081,198.0
416,1160.47038081,198.0
417,1160.47038081,198.0
418,1160.47038081,198.0
419,1160.47038081,198.0
420,1160.47038081,198.0
421,1160.47038081,198.0
422,1160.47038081,198.0
423,1160.47038081,198.0
424,1160.47038081,198.0
425,1160.47038081,198.0
426,1160.47038081,198.0
427,1160.47038081,198.0
428,1160.47038081,198.0
429,1160.47038081,198.0
430,1160.47038081,198.0
431,1160.47038081,198.0
432,1160.47038081,198.0
433,1160.47038081,198.0
434,1160.47038081,198.0
435,1160.47038081,198.0
436,1160.47038081,198.0
437,1136.23038287,197.0
438,1136.23038287,197.0
439,1136.23038287,197.0
440,1136.23038287,197.0
441,1136.23038287,197.0
442,1136.23038287,197.0
443,1136.23038287,197.0
444,1136.23038287,197.0
445,1136.23038287,197.0
446,1136.23038287,197.0
447,1136.23038287,197.0
448,1136.23038287,197.0
449,1136.23038287,197.0
450,1136.23038287,197.0
451,1136.23038287,197.0
452,1136.23038287,197.0
453,1136.23038287,197.0
454,1136.23038287,197.0
455,1136.23038287,197.0
456,1136.23038287,197.0
457,1163.21438287,198.0
458,1163.21438287,198.0
459,1163.21438287,198.0
460,1163.21438287,198.0
461,1163.21438287,198.0
462,1163.21438287,198.0
463,1163.21438287,198.0
464,1163.21438287,198.0
465,1163.21438287,198.0
466,1163.21438287,198.0
467,1163.21438287,198.0
468,1163.21438287,198.0
469,1163.21438287,198.0
470,1163.21438287,198.0
471,1163.21438287,198.0
472,1163.21438287,198.0
473,1163.21438287,198.0
474,1163.21438287,198.0
475,1163.21438287,198.0
476,1163.21438287,198.0
477,1163.21438287,198.0
478,1163.21438287,198.0
479,1163.21438287,198.0
480,1163.21438287,198.0
481,1163.21438287,198.0
482,1163.21438287,198.0
483,1163.21438287,198.0
484,1163.21438287,198.0
485,1163.21438287,198.0
486,1163.21438287,198.0
487,1163.21438287,198.0
488,1163.21438287,198.0
489,1163.21438287,198.0
490,1163.21438287,198.0
491,1163.21438287,198.0
492,1163.21438287,198.0
493,1163.21438287,198.0
494,1163.21438287,198.0
495,1163.21438287,198.0
496,1163.21438287,198.0
497,1163.21438287,198.0
498,1163.21438287,198.0
499,1163.21438287,198.0
500,1163.21438287,198.0
501,1163.21438287,198.0
502,1190.22287929,199.0
503,1190.22287929,199.0
504,1190.22287929,199.0
505,1190.22287929,199.0
506,1190.22287929,199.0
507,1190.22287929,199.0
508,1190.22287929,199.0
509,1190.22287929,199.0
510,1190.22287929,199.0
511,1190.22287929,199.0
512,1190.22287929,199.0
513,1190.22287929,199.0
514,1190.22287929,199.0
515,1190.22287929,199.0
516,1190.22287929,199.0
517,1190.22287929,199.0
518,1190.22287929,199.0
519,1190.22287929,199.0
520,1190.22287929,199.0
521,1190.22287929,199.0
522,1190.22287929,199.0
523,1190.22287929,199.0
524,1190.22287929,199.0
525,1190.22287929,199.0
526,1190.22287929,199.0
527,1190.22287929,199.0
528,1190.22287929,199.0
529,1190.22287929,199.0
530,1190.22287929,199.0
531,1190.22287929,199.0
532,1190.22287929,199.0
533,1190.22287929,199.0
534,1190.22287929,199.0
535,1190.22287929,199.0
536,1190.22287929,199.0
537,1190.22287929,199.0
538,1190.22287929,199.0
539,1190.22287929,199.0
540,1190.22287929,199.0
541,1190.22287929,199.0
542,1190.22287929,199.0
543,1190.22287929,199.0
544,1190.22287929,199.0
545,1190.22287929,199.0
546,1190.22287929,199.0
547,1190.22287929,199.0
548,1217.22687513,200.0
549,1217.22687513,200.0
550,1217.22687513,200.0
551,1217.22687513,200.0
552,1217.22687513,200.0
553,1217.22687513,200.0
554,1217.22687513,200.0
555,1217.22687513,200.0
556,1217.22687513,200.0
557,1217.22687513,200.0
558,1217.22687513,200.0
559,1217.22687513,200.0
560,1217.22687513,200.0
561,1217.22687513,200.0
562,1217.22687513,200.0
563,1217.22687513,200.0
564,1217.22687513,200.0
565,1217.22687513,200.0
566,1217.22687513,200.0
567,1217.22687513,200.0
568,1217.22687513,200.0
569,1217.22687513,200.0
570,1217.22687513,200.0
571,1217.22687513,200.0
572,1217.22687513,200.0
573,1217.22687513,200.0
574,1217.22687513,200.0
575,1217.22687513,200.0
576,1217.22687513,200.0
577,1217.22687513,200.0
578,1217.22687513,200.0
579,1217.22687513,200.0
580,1217.22687513,200.0
581,1217.22687513,200.0
582,1217.22687513,200.0
583,1217.22687513,200.0
584,1217.22687513,200.0
585,1217.22687513,200.0
586,1217.22687513,200.0
587,1217.22687513,200.0
588,1217.22687513,200.0
589,1217.22687513,200.0
590,1217.22687513,200.0
591,1217.22687513,200.0
592,1217.22687513,200.0
593,1217.22687513,200.0
594,1217.22687513,200.0
595,1217.22687513,200.0
596,1217.22687513,200.0
597,1217.22687513,200.0
598,1217.22687513,200.0
599,1217.22687513,200.0
600,1217.22687513,200.0
601,1244.22637096,201.0
602,1244.22637096,201.0
603,1244.22637096,201.0
604,1244.22637096,201.0
605,1244.22637096,201.0
606,1244.22637096,201.0
607,1244.22637096,201.0
608,1244.22637096,201.0
609,1244.22637096,201.0
610,1244.22637096,201.0
611,1244.22637096,201.0
612,1244.22637096,201.0
613,1244.22637096,201.0
614,1244.22637096,201.0
615,1244.22637096,201.0
616,1244.22637096,201.0
617,1244.22637096,201.0
618,1244.22637096,201.0
619,1244.22637096,201.0
620,1244.22637096,201.0
