time,downrange,altitude
332,1248.76393527,168.0
333,1248.76393527,168.0
334,1248.76393527,168.0
335,1248.76393527,168.0
336,1248.76393527,168.0
337,1248.76393527,168.0
338,1248.76393527,168.0
339,1248.76393527,168.0
340,1248.76393527,168.0
341,1248.76393527,168.0
342,1248.76393527,168.0
343,1248.76393527,168.0
344,1248.76393527,168.0
345,1248.76393527,168.0
346,1248.76393527,168.0
347,1248.76393527,168.0
348,1248.76393527,168.0
349,1248.76393527,168.0
350,1266.67330276,169.0
351,1266.67330276,169.0
352,1266.67330276,169.0
353,1266.67330276,169.0
354,1266.67330276,169.0
355,1266.67330276,169.0
356,1266.67330276,169.0
357,1266.67330276,169.0
358,1266.67330276,169.0
359,1266.67330276,169.0
360,1266.67330276,169.0
361,1266.67330276,169.0
362,1266.67330276,169.0
363,1266.67330276,169.0
364,1266.67330276,169.0
365,1266.67330276,169.0
366,1266.67330276,169.0
367,1266.67330276,169.0
368,1266.67330276,169.0
369,1266.67330276,169.0
370,1266.67330276,169.0
371,1266.67330276,169.0
372,1266.67330276,169.0
373,1266.67330276,169.0
374,1266.67330276,169.0
375,1266.67330276,169.0
376,1266.67330276,169.0
377,1266.67330276,169.0
378,1266.67330276,169.0
379,1266.67330276,169.0
380,1266.67330276,169.0
381,1266.67330276,169.0
382,1266.67330276,169.0
383,1266.67330276,169.0
384,1266.67330276,169.0
385,1266.67330276,169.0
386,1266.67330276,169.0
387,1266.67330276,169.0
388,1266.67330276,169.0
389,1245.14432406,168.0
390,1245.14432406,168.0
391,1245.14432406,168.0
392,1245.14432406,168.0
393,1245.14432406,168.0
394,1245.14432406,168.0
395,1245.14432406,168.0
396,1245.14432406,168.0
397,1245.14432406,168.0
398,1245.14432406,168.0
399,1245.14432406,168.0
400,1245.14432406,168.0
401,1245.14432406,168.0
402,1245.14432406,168.0
403,1245.14432406,168.0
404,1245.14432406,168.0
405,1245.14432406,168.0
406,1245.14432406,168.0
407,1245.14432406,168.0
408,1245.14432406,168.0
409,1245.14432406,168.0
410,1245.14432406,168.0
411,1245.14432406,168.0
412,1245.14432406,168.0
413,1245.14432406,168.0
414,1245.14432406,168.0
415,1245.14432406,168.0
416,1245.14432406,168.0
417,1245.14432406,168.0
418,1245.14432406,168.0
419,1245.14432406,168.0
420,1245.14432406,168.0
421,1245.14432406,168.0
422,1245.14432406,168.0
423,1245.14432406,168.0
424,1245.14432406,168.0
425,1245.14432406,168.0
426,1245.14432406,168.0
427,1245.14432406,168.0
428,1245.14432406,168.0
429,1245.14432406,168.0
430,1245.14432406,168.0
431,1245.14432406,168.0
432,1245.14432406,168.0
433,1245.14432406,168.0
434,1245.14432406,168.0
435,1245.14432406,168.0
436,1245.14432406,168.0
437,1245.14432406,168.0
438,1245.14432406,168.0
439,1245.14432406,168.0
440,1245.14432406,168.0
441,1245.14432406,168.0
442,1245.14432406,168.0
443,1245.14432406,168.0
444,1245.14432406,168.0
445,1245.14432406,168.0
446,1245.14432406,168.0
447,1245.14432406,168.0
448,1245.14432406,168.0
449,1245.14432406,168.0
450,1245.14432406,168.0
451,1245.14432406,168.0
452,1245.14432406,168.0
453,1245.14432406,168.0
454,1245.14432406,168.0
455,1245.14432406,168.0
456,1245.14432406,168.0
457,1245.14432406,168.0
458,1245.14432406,168.0
459,1245.14432406,168.0
460,1245.14432406,168.0
461,1245.14432406,168.0
462,1245.14432406,168.0
463,1245.14432406,168.0
464,1245.14432406,168.0
465,1245.14432406,168.0
466,1245.14432406,168.0
467,1245.14432406,168.0
468,1245.14432406,168.0
469,1245.14432406,168.0
470,1245.14432406,168.0
471,1245.14432406,168.0
472,1272.57032223,169.0
473,1272.57032223,169.0
474,1272.57032223,169.0
475,1272.57032223,169.0
476,1272.57032223,169.0
477,1272.57032223,169.0
478,1272.57032223,169.0
479,1272.57032223,169.0
480,1272.57032223,169.0
481,1272.57032223,169.0
482,1272.57032223,169.0
483,1272.57032223,169.0
484,1272.57032223,169.0
485,1272.57032223,169.0
486,1272.57032223,169.0
487,1272.57032223,169.0
488,1272.57032223,169.0
489,1272.57032223,169.0
490,1272.57032223,169.0
491,1272.57032223,169.0
492,1272.57032223,169.0
493,1272.57032223,169.0
494,1272.57032223,169.0
495,1272.57032223,169.0
496,1272.57032223,169.0
497,1272.57032223,169.0
498,1272.57032223,169.0
499,1272.57032223,169.0
500,1272.57032223,169.0
501,1272.57032223,169.0
502,1272.57032223,169.0
503,1272.57032223,169.0
504,1272.57032223,169.0
505,1272.57032223,169.0
506,1272.57032223,169.0
507,1272.57032223,169.0
508,1272.57032223,169.0
509,1272.57032223,169.0
510,1272.57032223,169.0
511,1299.99132041,170.0
512,1299.99132041,170.0
513,1299.99132041,170.0
514,1299.99132041,170.0
515,1299.99132041,170.0
516,1299.99132041,170.0
517,1299.99132041,170.0
518,1299.99132041,170.0
519,1299.99132041,170.0
520,1299.99132041,170.0
521,1299.99132041,170.0
522,1299.99132041,170.0
523,1299.99132041,170.0
524,1299.99132041,170.0
525,1299.99132041,170.0
526,1299.99132041,170.0
527,1299.99132041,170.0
528,1299.99132041,170.0
529,1299.99132041,170.0
530,1299.99132041,170.0
