time,acceleration,speed
101.0,17.777777777777715,2987.0
102.0,18.055555555555543,3052.0
103.0,18.33333333333337,3118.0
105.0,17.916666666666686,3247.0
106.0,19.16666666666663,3316.0
107.0,19.444444444444457,3386.0
108.0,18.888888888888914,3454.0
109.0,20.555555555555543,3528.0
110.0,20.833333333333258,3603.0
111.0,20.27777777777783,3676.0
113.0,21.111111111111086,3828.0
114.0,22.77777777777783,3910.0
115.0,23.333333333333258,3994.0
116.0,21.111111111111086,4070.0
117.0,22.2222222222224,4150.0
118.0,22.7777777777776,4232.0
119.0,23.333333333333485,4316.0
120.0,24.72222222222217,4405.0
121.0,24.444444444444343,4493.0
122.0,25.27777777777783,4584.0
123.0,23.055555555555657,4667.0
124.0,24.72222222222217,4756.0
125.0,25.27777777777783,4847.0
126.0,25.55555555555543,4939.0
127.0,26.388888888888914,5034.0
128.0,27.22222222222217,5132.0
129.0,27.2222222222224,5230.0
130.0,27.5,5329.0
131.0,27.5,5428.0
132.0,28.333333333333258,5530.0
133.0,28.611111111111086,5633.0
134.0,28.888888888888914,5737.0
135.0,29.72222222222217,5844.0
138.0,31.111111111111086,6180.0
139.0,31.388888888888914,6293.0
140.0,32.2222222222224,6409.0
141.0,32.7777777777776,6527.0
142.0,32.77777777777783,6645.0
143.0,30.555555555555657,6755.0
144.0,29.166666666666515,6860.0
145.0,27.77777777777783,6960.0
146.0,27.5,7059.0
147.0,26.94444444444457,7156.0
148.0,28.05555555555543,7257.0
149.0,28.333333333333258,7359.0
151.0,29.02777777777783,7568.0
152.0,29.166666666666515,7673.0
154.0,30.416666666666742,7892.0
155.0,23.611111111111313,7977.0
156.0,6.666666666666515,8001.0
157.0,-0.5555555555556566,7999.0
158.0,-2.7777777777778283,7989.0
159.0,-3.0555555555556566,7978.0
160.0,-3.6111111111108585,7965.0
161.0,-3.8888888888891415,7951.0
162.0,-3.888888888888687,7937.0
163.0,-4.166666666666515,7922.0
164.0,-3.8888888888891415,7908.0
165.0,-3.888888888888687,7894.0
166.0,-1.1111111111113132,7890.0
167.0,2.2222222222221717,7898.0
168.0,3.611111111111313,7911.0
169.0,4.166666666666515,7926.0
170.0,4.444444444444343,7942.0
171.0,4.444444444444798,7958.0
172.0,4.722222222222172,7975.0
173.0,4.722222222222172,7992.0
176.0,4.814814814814781,8044.0
180.0,5.0,8116.0
181.0,5.277777777777828,8135.0
182.0,5.277777777777828,8154.0
183.0,5.277777777777828,8173.0
184.0,5.277777777777828,8192.0
187.0,5.462962962962895,8251.0
188.0,5.555555555555657,8271.0
189.0,5.555555555555657,8291.0
190.0,5.277777777777828,8310.0
191.0,5.555555555555202,8330.0
192.0,5.833333333333485,8351.0
193.0,5.833333333333485,8372.0
194.0,5.83333333333303,8393.0
195.0,5.833333333333485,8414.0
196.0,6.111111111111313,8436.0
197.0,5.83333333333303,8457.0
198.0,4.444444444444343,8473.0
199.0,7.777777777777828,8501.0
200.0,6.111111111111313,8523.0
201.0,5.833333333333485,8544.0
205.0,6.25,8634.0
206.0,6.388888888888687,8657.0
207.0,6.111111111111313,8679.0
208.0,6.666666666666515,8703.0
209.0,6.388888888888687,8726.0
210.0,6.944444444444798,8751.0
214.0,7.0833333333332575,8853.0
215.0,7.222222222222172,8879.0
220.0,7.444444444444434,9013.0
222.0,7.5,9067.0
225.0,7.592592592592609,9149.0
226.0,7.777777777777828,9177.0
228.0,7.777777777777828,9233.0
231.0,7.962962962962895,9319.0
232.0,8.055555555555657,9348.0
233.0,8.055555555555657,9377.0
234.0,8.333333333333485,9407.0
235.0,8.055555555555202,9436.0
237.0,8.333333333333485,9496.0
238.0,8.611111111110858,9527.0
239.0,8.333333333333485,9557.0
241.0,8.472222222222172,9618.0
242.0,8.333333333333485,9648.0
243.0,8.611111111110858,9679.0
244.0,8.611111111111313,9710.0
245.0,8.888888888888687,9742.0
246.0,8.611111111111313,9773.0
248.0,9.027777777777828,9838.0
249.0,8.888888888888687,9870.0
250.0,8.611111111111313,9901.0
251.0,8.888888888888687,9933.0
252.0,8.888888888889142,9965.0
254.0,9.166666666666515,10031.0
255.0,9.444444444444798,10065.0
256.0,8.888888888888687,10097.0
257.0,9.166666666666515,10130.0
258.0,9.722222222222172,10165.0
259.0,9.444444444444798,10199.0
260.0,9.444444444444343,10233.0
261.0,9.444444444444343,10267.0
262.0,9.722222222222172,10302.0
263.0,9.722222222222172,10337.0
264.0,9.16666666666697,10370.0
265.0,9.722222222222172,10405.0
266.0,10.277777777777828,10442.0
267.0,10.0,10478.0
268.0,9.444444444444343,10512.0
269.0,9.722222222222172,10547.0
270.0,10.0,10583.0
271.0,10.555555555555657,10621.0
272.0,9.444444444444343,10655.0
273.0,10.0,10691.0
274.0,10.277777777777828,10728.0
275.0,10.277777777777828,10765.0
276.0,10.555555555555657,10803.0
277.0,10.277777777777374,10840.0
278.0,10.833333333333485,10879.0
279.0,10.0,10915.0
280.0,10.277777777777828,10952.0
281.0,10.555555555555657,10990.0
282.0,10.555555555555657,11028.0
283.0,10.83333333333303,11067.0
284.0,10.833333333333485,11106.0
285.0,10.83333333333303,11145.0
286.0,10.555555555555657,11183.0
287.0,10.833333333333485,11222.0
288.0,11.111111111110858,11262.0
289.0,10.555555555555657,11300.0
290.0,11.111111111111313,11340.0
291.0,10.83333333333303,11379.0
293.0,11.25,11460.0
294.0,11.388888888889142,11501.0
295.0,11.388888888888687,11542.0
296.0,11.111111111111313,11582.0
297.0,11.388888888888687,11623.0
298.0,11.388888888889142,11664.0
299.0,11.666666666666515,11706.0
300.0,11.388888888889142,11747.0
301.0,11.944444444444343,11790.0
302.0,11.944444444444343,11833.0
303.0,11.388888888888687,11874.0
304.0,11.944444444444798,11917.0
305.0,12.222222222222172,11961.0
306.0,11.944444444444343,12004.0
307.0,11.944444444444343,12047.0
308.0,12.222222222222172,12091.0
309.0,12.222222222222172,12135.0
310.0,12.222222222222626,12179.0
311.0,12.777777777777374,12225.0
312.0,12.5,12270.0
313.0,12.5,12315.0
314.0,12.5,12360.0
315.0,12.5,12405.0
316.0,12.777777777777828,12451.0
317.0,12.777777777777828,12497.0
318.0,12.777777777777828,12543.0
319.0,12.777777777777828,12589.0
320.0,12.777777777777828,12635.0
321.0,13.055555555555657,12682.0
322.0,12.5,12727.0
323.0,13.33333333333303,12775.0
324.0,13.055555555555657,12822.0
325.0,13.333333333333485,12870.0
326.0,13.33333333333303,12918.0
327.0,13.055555555555657,12965.0
328.0,13.333333333333485,13013.0
329.0,13.611111111110858,13062.0
330.0,13.888888888889142,13112.0
331.0,13.888888888888687,13162.0
332.0,13.611111111111313,13211.0
333.0,13.888888888888687,13261.0
334.0,13.888888888889142,13311.0
335.0,14.444444444444343,13363.0
336.0,14.166666666666515,13414.0
337.0,13.888888888889142,13464.0
338.0,14.166666666666515,13515.0
339.0,14.722222222222172,13568.0
340.0,14.444444444444343,13620.0
341.0,14.722222222222626,13673.0
342.0,14.444444444444343,13725.0
343.0,14.722222222222172,13778.0
344.0,14.444444444444343,13830.0
345.0,14.722222222222172,13883.0
346.0,15.0,13937.0
347.0,14.722222222222172,13990.0
348.0,170.55555555555566,14604.0
349.0,-140.27777777777783,14099.0
350.0,15.0,14153.0
351.0,15.277777777777828,14208.0
352.0,15.555555555555657,14264.0
353.0,14.722222222222172,14317.0
354.0,15.277777777777828,14372.0
355.0,15.0,14426.0
356.0,15.555555555555657,14482.0
357.0,16.11111111111086,14540.0
358.0,16.111111111111313,14598.0
359.0,15.83333333333303,14655.0
360.0,16.111111111111313,14713.0
361.0,15.83333333333303,14770.0
362.0,16.111111111111313,14828.0
363.0,16.388888888888687,14887.0
364.0,16.944444444444343,14948.0
365.0,15.83333333333394,15005.0
366.0,16.388888888888687,15064.0
367.0,16.66666666666697,15124.0
368.0,17.222222222221717,15186.0
369.0,17.777777777778283,15250.0
370.0,17.222222222221717,15312.0
371.0,17.222222222222626,15374.0
372.0,16.944444444444343,15435.0
373.0,17.222222222221717,15497.0
374.0,17.5,15560.0
375.0,18.055555555555657,15625.0
376.0,17.5,15688.0
377.0,18.611111111111313,15755.0
378.0,18.33333333333303,15821.0
379.0,18.33333333333394,15887.0
380.0,17.777777777777374,15951.0
381.0,17.777777777778283,16015.0
382.0,18.888888888888687,16083.0
383.0,18.611111111111313,16150.0
384.0,18.611111111110404,16217.0
385.0,17.5,16280.0
386.0,17.777777777778283,16344.0
387.0,19.444444444444343,16414.0
388.0,19.16666666666697,16483.0
389.0,19.444444444444343,16553.0
390.0,19.16666666666606,16622.0
391.0,19.16666666666697,16691.0
392.0,19.444444444444343,16761.0
393.0,19.722222222222626,16832.0
394.0,19.722222222221717,16903.0
395.0,19.16666666666697,16972.0
396.0,20.555555555555657,17046.0
397.0,20.555555555555657,17120.0
398.0,20.555555555555657,17194.0
399.0,20.555555555555657,17268.0
400.0,20.277777777777374,17341.0
401.0,20.555555555555657,17415.0
402.0,20.555555555555657,17489.0
403.0,20.83333333333303,17564.0
404.0,20.83333333333303,17639.0
405.0,21.388888888889596,17716.0
406.0,21.111111111110404,17792.0
407.0,21.66666666666697,17870.0
408.0,21.944444444444343,17949.0
409.0,21.66666666666697,18027.0
410.0,21.66666666666697,18105.0
411.0,22.5,18186.0
412.0,22.222222222221717,18266.0
413.0,22.222222222222626,18346.0
414.0,22.5,18427.0
415.0,22.222222222221717,18507.0
416.0,22.777777777778283,18589.0
417.0,23.33333333333303,18673.0
418.0,23.33333333333303,18757.0
419.0,23.33333333333394,18841.0
420.0,23.611111111110404,18926.0
421.0,23.611111111111313,19011.0
422.0,23.055555555555657,19094.0
423.0,23.055555555555657,19177.0
424.0,23.33333333333303,19261.0
425.0,24.722222222222626,19350.0
426.0,24.722222222221717,19439.0
427.0,25.0,19529.0
428.0,24.722222222222626,19618.0
429.0,25.277777777777374,19709.0
430.0,26.388888888889596,19804.0
431.0,26.111111111110404,19898.0
432.0,25.0,19988.0
433.0,171.94444444444525,20607.0
434.0,-121.11111111111131,20171.0
435.0,26.111111111111313,20265.0
436.0,27.222222222221717,20363.0
437.0,27.5,20462.0
439.0,27.5,20660.0
440.0,26.388888888888687,20755.0
441.0,27.5,20854.0
442.0,27.5,20953.0
443.0,30.277777777778283,21062.0
444.0,28.33333333333303,21164.0
445.0,28.611111111111313,21267.0
446.0,28.888888888888687,21371.0
447.0,29.16666666666697,21476.0
448.0,29.444444444444343,21582.0
449.0,29.722222222221717,21689.0
450.0,29.444444444445253,21795.0
451.0,29.722222222221717,21902.0
452.0,30.0,22010.0
453.0,31.111111111111313,22122.0
454.0,31.111111111111313,22234.0
455.0,30.83333333333303,22345.0
456.0,31.66666666666697,22459.0
457.0,32.22222222222172,22575.0
458.0,32.222222222222626,22691.0
459.0,33.05555555555566,22810.0
460.0,33.05555555555475,22929.0
461.0,33.33333333333394,23049.0
462.0,33.61111111111131,23170.0
463.0,34.16666666666606,23293.0
464.0,34.16666666666697,23416.0
465.0,34.72222222222172,23541.0
466.0,34.722222222222626,23666.0
467.0,35.0,23792.0
468.0,35.277777777777374,23919.0
469.0,36.94444444444525,24052.0
470.0,37.22222222222172,24186.0
471.0,37.222222222222626,24320.0
472.0,36.94444444444434,24453.0
473.0,37.5,24588.0
474.0,37.777777777777374,24724.0
475.0,38.33333333333394,24862.0
476.0,39.44444444444434,25004.0
477.0,39.44444444444434,25146.0
478.0,40.0,25290.0
479.0,40.277777777777374,25435.0
480.0,40.83333333333394,25582.0
481.0,41.66666666666606,25732.0
482.0,42.222222222222626,25884.0
483.0,43.88888888888869,26042.0
484.0,42.5,26195.0
485.0,43.05555555555566,26350.0
486.0,43.05555555555566,26505.0
487.0,43.61111111111131,26662.0
488.0,44.44444444444434,26822.0
489.0,48.88888888888869,26998.0
490.0,36.11111111111131,27128.0
491.0,45.0,27290.0
492.0,26.944444444444343,27387.0
493.0,8.055555555555657,27416.0
494.0,2.5,27425.0
495.0,0.8333333333330302,27428.0
496.0,0.27777777777737356,27429.0
497.0,-0.27777777777737356,27428.0
498.0,0.0,27428.0
499.0,0.0,27428.0
500.0,0.0,27428.0
501.0,0.0,27428.0
502.0,0.0,27428.0
503.0,0.0,27428.0
504.0,0.0,27428.0
505.0,0.0,27428.0
506.0,0.0,27428.0
507.0,0.0,27428.0
508.0,0.0,27428.0
509.0,0.0,27428.0
