time,horizontal_speed,altitude
428,26661.9966661,168.0
429,26821.9974627,168.0
430,26997.9979365,168.0
431,27127.9981569,168.0
432,27289.9981678,168.0
433,27386.9981743,168.0
434,27415.9981762,168.0
435,27424.9981768,168.0
436,27427.998177,168.0
437,27428.9981771,168.0
438,27427.998177,168.0
439,27427.998177,168.0
440,27427.998177,168.0
441,27427.998177,168.0
442,27427.998177,168.0
443,27427.998177,168.0
444,27427.998177,168.0
445,27427.998177,168.0
446,27427.998177,168.0
447,27427.998177,168.0
448,27427.998177,168.0
449,27427.998177,168.0
450,27427.998177,168.0
451,27427.998177,168.0
452,27427.998177,168.0
453,27427.998177,168.0
454,27427.998177,168.0
455,27426.998177,168.0
456,27426.998177,168.0
457,27426.998177,168.0
458,27426.998177,168.0
459,27426.998177,168.0
460,27426.998177,168.0
461,27426.998177,168.0
462,27426.998177,168.0
463,27426.998177,168.0
464,27426.998177,168.0
465,27426.998177,168.0
466,27425.9981769,168.0
467,27425.9981769,168.0
468,27425.9981769,168.0
469,27425.9981769,168.0
470,27425.9981769,168.0
471,27425.9981769,168.0
472,27425.9981769,169.0
473,27425.9981769,169.0
474,27425.9981769,169.0
475,27425.9981769,169.0
476,27425.9981769,169.0
477,27424.9981768,169.0
478,27424.9981768,169.0
479,27424.9981768,169.0
480,27424.9981768,169.0
481,27424.9981768,169.0
482,27424.9981768,169.0
483,27424.9981768,169.0
484,27424.9981768,169.0
485,27424.9981768,169.0
486,27423.9981768,169.0
487,27423.9981768,169.0
488,27423.9981768,169.0
489,27423.9981768,169.0
490,27423.9981768,169.0
491,27423.9981768,169.0
492,27423.9981768,169.0
493,27423.9981768,169.0
494,27422.9981767,169.0
495,27422.9981767,169.0
496,27422.9981767,169.0
497,27422.9981767,169.0
498,27422.9981767,169.0
499,27422.9981767,169.0
500,27422.9981767,169.0
501,27422.9981767,169.0
502,27422.9981767,169.0
503,27421.9981766,169.0
504,27421.9981766,169.0
505,27421.9981766,169.0
506,27421.9981766,169.0
507,27421.9981766,169.0
508,27421.9981766,169.0
