time,downrange,horizontal_velocity,vertical_velocity,altitude
504,1272.57032223,27421.9981766,10.0,169.0
505,1272.57032223,27421.9981766,10.0,169.0
506,1272.57032223,27421.9981766,10.0,169.0
507,1272.57032223,27421.9981766,10.0,169.0
508,1272.57032223,27421.9981766,10.0,169.0
509,1272.57032223,27421.9981766,10.0,169.0
510,1272.57032223,27420.9981766,10.0,169.0
511,1299.99132041,27420.9981766,10.0,170.0
512,1299.99132041,27420.9981766,10.0,170.0
513,1299.99132041,27420.9981766,10.0,170.0
514,1299.99132041,27420.9981766,10.0,170.0
515,1299.99132041,27420.9981766,10.0,170.0
516,1299.99132041,27420.9981766,10.0,170.0
517,1299.99132041,27419.9981765,10.0,170.0
518,1299.99132041,27419.9981765,10.0,170.0
519,1299.99132041,27419.9981765,10.0,170.0
520,1299.99132041,27419.9981765,10.0,170.0
521,1299.99132041,27419.9981765,10.0,170.0
522,1299.99132041,27419.9981765,10.0,170.0
523,1299.99132041,27419.9981765,10.0,170.0
524,1299.99132041,27418.9981764,10.0,170.0
525,1299.99132041,27418.9981764,10.0,170.0
526,1299.99132041,27418.9981764,10.0,170.0
527,1299.99132041,27418.9981764,10.0,170.0
528,1299.99132041,27418.9981764,10.0,170.0
529,1299.99132041,27418.9985592,8.88888888889,170.0
530,1299.99132041,27418.9990488,7.22222222222,170.0
