time,horizontal_speed,vertical_speed,altitude
307,15004.8814248,1450.0,166.0
308,15064.0,1433.33333333,166.0
309,15124.0,1411.11111111,166.0
310,15186.0,1388.88888889,166.0
311,15247.9619573,1361.11111111,166.0
312,15309.6485715,1338.88888889,166.0
313,15371.7921941,1316.66666667,166.0
314,15434.5001953,1300.0,166.0
315,15497.0,1283.33333333,166.0
316,15560.0,1266.66666667,166.0
317,15625.0,1250.0,167.0
318,15688.0,1233.33333333,167.0
319,15753.9917944,1211.11111111,167.0
320,15819.3908667,1188.88888889,167.0
321,15885.1076034,1166.66666667,167.0
322,15950.844087,1150.0,167.0
323,16015.0,1133.33333333,167.0
324,16082.0864338,1116.66666667,167.0
325,16147.8870681,1100.0,167.0
326,16214.0148134,1083.33333333,167.0
327,16280.0,1061.11111111,167.0
328,16344.0,1038.88888889,167.0
329,16414.0,1016.66666667,168.0
330,16483.0,1000.0,168.0
331,16551.7203233,983.333333333,168.0
332,16620.6707707,966.666666667,168.0
333,16690.368735,950.0,168.0
334,16760.7516499,933.333333333,168.0
335,16831.6177439,911.111111111,168.0
336,16902.8930715,888.888888889,168.0
337,16972.0,866.666666667,168.0
338,17046.0,855.555555556,168.0
339,17119.6210537,844.444444444,168.0
340,17192.8353036,833.333333333,168.0
341,17266.4054033,816.666666667,168.0
342,17340.3420219,800.0,168.0
343,17414.6768865,783.333333333,168.0
344,17489.0,766.666666667,168.0
345,17564.0,750.0,168.0
346,17639.0,733.333333333,168.0
347,17715.9671264,716.666666667,168.0
348,17792.0,705.555555556,168.0
349,17870.0,694.444444444,168.0
350,17948.300054,683.333333333,169.0
351,18026.8829214,666.666666667,169.0
352,18105.0,650.0,169.0
353,18185.3117707,633.333333333,169.0
354,18265.2341502,616.666666667,169.0
355,18345.6652697,605.555555556,169.0
356,18426.7188195,594.444444444,169.0
357,18507.0,583.333333333,169.0
358,18589.0,566.666666667,169.0
359,18673.0,555.555555556,169.0
360,18756.8237288,544.444444444,169.0
361,18840.1823557,533.333333333,169.0
362,18924.0157582,516.666666667,169.0
363,19008.3658304,505.555555556,169.0
364,19093.161543,500.0,169.0
365,19177.0,494.444444444,169.0
366,19261.0,483.333333333,169.0
367,19339.1169224,466.666666667,169.0
368,19425.3207875,455.555555556,169.0
369,19521.3336949,450.0,169.0
370,19618.0,450.0,169.0
371,19709.0,450.0,169.0
372,19804.0,450.0,169.0
373,19898.0,450.0,169.0
374,19988.0,444.444444444,169.0
375,20155.1221355,433.333333333,169.0
376,20171.0,416.666666667,169.0
377,20265.0,405.555555556,169.0
378,20363.0,400.0,169.0
379,20462.0,394.444444444,169.0
380,20633.3259992,383.333333333,169.0
381,20720.4599174,366.666666667,169.0
382,20826.9843906,355.555555556,169.0
383,20940.9438269,350.0,169.0
384,21062.0,350.0,169.0
385,21164.0,344.444444444,169.0
386,21267.0,333.333333333,169.0
