time,speedofsound,altitude
00:01:26,295.04231899847855,17.2
00:01:27,295.04231899847855,17.6
00:01:31,295.04231899847855,19.0
00:01:32,295.04231899847855,19.4
00:01:32,295.04231899847855,19.9
00:01:34,295.31456110391844,20.4
00:01:35,295.65451121198873,20.9
00:01:36,295.9940708865635,21.4
00:01:37,296.33324146980203,21.9
00:01:38,296.6720242961914,22.4
00:01:38,296.9427722642866,22.8
00:01:39,297.2808604670001,23.3
00:01:40,297.6860594653367,23.9
00:01:41,298.02330445788965,24.4
00:01:42,298.36016825306956,24.9
00:01:43,298.76390344216617,25.5
00:01:45,299.099933132724,26.0
00:01:46,299.50267110661963,26.6
00:01:47,299.83787285798303,27.1
00:01:48,300.23962096965147,27.7
00:01:49,300.64083222343567,28.3
00:01:50,301.0415087658178,28.9
00:01:51,301.44165272901483,29.5
00:01:51,301.84126623111024,30.1
00:01:52,302.24035137618534,30.7
00:01:53,302.63891025444826,31.3
00:01:54,303.10323323910615,32.0
00:01:55,304.2147169352594,32.6
00:01:56,305.32215445329217,33.2
00:01:57,306.60910945371467,33.9
00:01:58,307.89068514653053,34.6
00:02:00,309.1669484275445,35.3
00:02:01,310.4379648174494,36.0
00:02:02,311.70379850107696,36.7
00:02:03,312.96451236522006,37.4
00:02:04,314.2201680350896,38.1
00:02:04,315.470825909465,38.8
00:02:06,316.7165451945951,39.5
00:02:07,318.13425153541704,40.3
00:02:08,319.5456680976914,41.1
00:02:08,321.00345356397645,41.93
00:02:09,322.1754087449878,42.6
00:02:10,323.56919816323676,43.4
00:02:11,324.9570094643289,44.2
00:02:12,326.3389189171282,45.0
00:02:14,327.8866053988787,45.9
00:02:15,329.25621937937626,46.7
00:02:15,329.76835809398085,47.6
00:02:18,329.76835809398085,49.4
00:02:19,329.76835809398085,50.3
00:02:20,329.59773360871276,51.1
00:02:21,327.8866053988787,52.1
00:02:21,325.30303718225565,53.6
00:02:22,324.78385735747395,53.9
00:02:23,323.0472318407944,54.9
00:02:24,321.4762479562059,55.8
00:02:25,319.72165707064636,56.8
00:02:28,316.36112593047835,58.7
00:02:29,314.39913803953084,59.8
00:02:30,312.60482721800696,60.8
00:02:31,310.80015765761766,61.8
00:02:32,308.802840012847,62.9
00:02:33,306.97581989466204,63.9
00:02:34,304.95345546492825,65.0
00:02:35,303.10323323910615,66.0
00:02:36,301.0548554665744,67.1
00:02:36,299.1805240987454,68.1
00:02:37,297.10510261521927,69.2
00:02:38,295.2056943895222,70.2
00:02:39,293.2665852087482,71.3
00:02:40,291.8932852944719,72.3
00:02:41,290.51349366251475,73.3
00:02:43,288.98811394242495,74.4
00:02:44,287.5943845070692,75.4
00:02:45,286.19386785883444,76.4
00:02:47,283.37206990104016,78.4
00:02:48,282.0930520236186,79.3
00:02:49,280.66508511034993,80.3
00:02:49,279.3736744934998,81.2
00:02:50,277.9317362231236,82.2
00:02:51,276.4822779130698,83.2
00:02:52,275.1712375957923,84.1
